"","Area.name","Area.code","Area.type","Specimen.date","Daily.lab.confirmed.cases","Cumulative.lab.confirmed.cases"
"302","Wirral","E08000015","Upper tier local authority","2020-04-19",21,829
"303","Windsor and Maidenhead","E06000040","Upper tier local authority","2020-04-19",1,206
"304","Wiltshire","E06000054","Upper tier local authority","2020-04-19",15,387
"305","Wigan","E08000010","Upper tier local authority","2020-04-19",16,474
"306","Westminster","E09000033","Upper tier local authority","2020-04-19",3,565
"307","West Sussex","E10000032","Upper tier local authority","2020-04-19",10,910
"308","West Berkshire","E06000037","Upper tier local authority","2020-04-19",5,251
"309","Warwickshire","E10000031","Upper tier local authority","2020-04-19",7,905
"310","Warrington","E06000007","Upper tier local authority","2020-04-19",5,468
"311","Wandsworth","E09000032","Upper tier local authority","2020-04-19",4,860
"312","Waltham Forest","E09000031","Upper tier local authority","2020-04-19",11,657
"313","Walsall","E08000030","Upper tier local authority","2020-04-19",7,725
"314","Wakefield","E08000036","Upper tier local authority","2020-04-19",7,425
"315","Trafford","E08000009","Upper tier local authority","2020-04-19",8,482
"316","Tower Hamlets","E09000030","Upper tier local authority","2020-04-19",5,558
"317","Torbay","E06000027","Upper tier local authority","2020-04-19",22,152
"318","Thurrock","E06000034","Upper tier local authority","2020-04-19",1,236
"319","Telford and Wrekin","E06000020","Upper tier local authority","2020-04-19",4,187
"320","Tameside","E08000008","Upper tier local authority","2020-04-19",6,387
"321","Swindon","E06000030","Upper tier local authority","2020-04-19",14,286
"322","Sutton","E09000029","Upper tier local authority","2020-04-19",4,599
"323","Surrey","E10000030","Upper tier local authority","2020-04-19",8,2131
"324","Sunderland","E08000024","Upper tier local authority","2020-04-19",28,942
"325","Suffolk","E10000029","Upper tier local authority","2020-04-19",11,714
"326","Stoke-on-Trent","E06000021","Upper tier local authority","2020-04-19",11,304
"327","Stockton-on-Tees","E06000004","Upper tier local authority","2020-04-19",4,245
"328","Stockport","E08000007","Upper tier local authority","2020-04-19",13,666
"329","Staffordshire","E10000028","Upper tier local authority","2020-04-19",33,1309
"330","St. Helens","E08000013","Upper tier local authority","2020-04-19",3,501
"331","Southwark","E09000028","Upper tier local authority","2020-04-19",4,1102
"332","Southend-on-Sea","E06000033","Upper tier local authority","2020-04-19",1,257
"333","Southampton","E06000045","Upper tier local authority","2020-04-19",7,367
"334","South Tyneside","E08000023","Upper tier local authority","2020-04-19",7,377
"335","South Gloucestershire","E06000025","Upper tier local authority","2020-04-19",7,280
"336","Somerset","E10000027","Upper tier local authority","2020-04-19",8,368
"337","Solihull","E08000029","Upper tier local authority","2020-04-19",3,450
"338","Slough","E06000039","Upper tier local authority","2020-04-19",2,325
"339","Shropshire","E06000051","Upper tier local authority","2020-04-19",8,356
"340","Sheffield","E08000019","Upper tier local authority","2020-04-19",2,1687
"341","Sefton","E08000014","Upper tier local authority","2020-04-19",12,681
"342","Sandwell","E08000028","Upper tier local authority","2020-04-19",20,798
"343","Salford","E08000006","Upper tier local authority","2020-04-19",9,485
"344","Rotherham","E08000018","Upper tier local authority","2020-04-19",1,514
"345","Rochdale","E08000005","Upper tier local authority","2020-04-19",8,335
"346","Richmond upon Thames","E09000027","Upper tier local authority","2020-04-19",7,341
"347","Redcar and Cleveland","E06000003","Upper tier local authority","2020-04-19",8,228
"348","Redbridge","E09000026","Upper tier local authority","2020-04-19",5,604
"349","Reading","E06000038","Upper tier local authority","2020-04-19",4,368
"350","Portsmouth","E06000044","Upper tier local authority","2020-04-19",1,237
"351","Plymouth","E06000026","Upper tier local authority","2020-04-19",13,214
"352","Peterborough","E06000031","Upper tier local authority","2020-04-19",4,151
"353","Oxfordshire","E10000025","Upper tier local authority","2020-04-19",28,1282
"354","Oldham","E08000004","Upper tier local authority","2020-04-19",16,487
"355","Nottinghamshire","E10000024","Upper tier local authority","2020-04-19",9,908
"356","Nottingham","E06000018","Upper tier local authority","2020-04-19",10,398
