"","Area.name","Area.code","Area.type","Reporting.date","Daily.change.in.deaths","Cumulative.deaths"
"228","Northern Ireland","N92000002","Nation","2020-03-26",2,7
"229","United Kingdom","K02000001","UK","2020-03-26",183,877
"230","England","E92000001","Nation","2020-03-26",169,820
"231","Wales","W92000004","Nation","2020-03-25",5,22
"232","Scotland","S92000003","Nation","2020-03-25",2,16
"233","Northern Ireland","N92000002","Nation","2020-03-25",2,5
"234","United Kingdom","K02000001","UK","2020-03-25",186,694
"235","England","E92000001","Nation","2020-03-25",177,651
"236","Wales","W92000004","Nation","2020-03-24",1,17
"237","Scotland","S92000003","Nation","2020-03-24",4,14
"238","Northern Ireland","N92000002","Nation","2020-03-24",1,3
"239","United Kingdom","K02000001","UK","2020-03-24",149,508
"240","England","E92000001","Nation","2020-03-24",143,474
"241","Wales","W92000004","Nation","2020-03-23",4,16
"242","Scotland","S92000003","Nation","2020-03-23",3,10
"243","Northern Ireland","N92000002","Nation","2020-03-23",0,2
"244","United Kingdom","K02000001","UK","2020-03-23",74,359
"245","England","E92000001","Nation","2020-03-23",67,331
"246","Wales","W92000004","Nation","2020-03-22",9,12
"247","Scotland","S92000003","Nation","2020-03-22",1,7
"248","Northern Ireland","N92000002","Nation","2020-03-22",1,2
"249","United Kingdom","K02000001","UK","2020-03-22",35,285
"250","England","E92000001","Nation","2020-03-22",24,264
"251","Wales","W92000004","Nation","2020-03-21",2,3
"252","Scotland","S92000003","Nation","2020-03-21",0,6
"253","Northern Ireland","N92000002","Nation","2020-03-21",0,1
"254","United Kingdom","K02000001","UK","2020-03-21",56,250
"255","England","E92000001","Nation","2020-03-21",54,240
"256","Wales","W92000004","Nation","2020-03-20",0,1
"257","Scotland","S92000003","Nation","2020-03-20",3,6
"258","Northern Ireland","N92000002","Nation","2020-03-20",NA,1
"259","United Kingdom","K02000001","UK","2020-03-20",36,194
"260","England","E92000001","Nation","2020-03-20",32,186
"261","Wales","W92000004","Nation","2020-03-19",0,1
"262","Scotland","S92000003","Nation","2020-03-19",1,3
"263","United Kingdom","K02000001","UK","2020-03-19",43,158
